name,country,mouse,dpi,sens
RgLM,Brazil,Logitech G Pro X Superlight Magenta,800,0.4
frz,Brazil,Logitech G Pro X Superlight Black,800,0.32
murizzz,Brazil,Logitech G Pro X Superlight Black,800,0.45
heat,Brazil,Logitech G Pro X Superlight Black,800,0.4
lowel,Spain,Logitech G Pro X Superlight Black,400,0.566
xmpl,Russia,Logitech G Pro X Superlight Black,800,0.617
tuyz,Brazil,Logitech G Pro X Superlight Black,800,0.32
Beaulo,United States,Logitech G Pro X Superlight Black,400,1.714
wippie,Russia,ZOWIE EC1-CW,800,1.572
trexx,Russia,G-Wolves Hati-M,800,0.226
mimi,Denmark,Logitech G Pro X Superlight Magenta,800,0.365
ShahZaM,United States,Logitech G Pro X Superlight Red,800,0.265
TRAVIS,Russia,Logitech G Pro X Superlight Black,800,1.0
B1sk,Russia,Logitech G Pro X Superlight Black,800,0.47
r3salt,Russia,Logitech G Pro X Superlight Black,400,2.0
Mellman,Georgia,Logitech G Pro X Superlight Black,800,0.617
ubah,Russia,Logitech G Pro X Superlight Black,800,0.617
hyped,Germany,Logitech G Pro X Superlight Black,400,3.09
OXY,United States,Logitech G Pro X Superlight Black,800,0.23
Maze,Denmark,Logitech G Pro X Superlight Black,400,2.1
adverso,Chile,Logitech G Pro X Superlight White,400,0.5
Veno,United Kingdom,Logitech G Pro X Superlight Black,800,0.617
PROD,United States,Logitech G Pro Wireless,800,0.5
insani,Brazil,Logitech G Pro X Superlight White,800,1.1
KingGeorge,United States,Corsair SABRE RGB Pro,800,0.617
MacieJay,United States,Logitech G Pro X Superlight Black,400,1.714
penny,Canada,Logitech G Pro X Superlight Black,800,0.35
deko,Russia,Logitech G Pro Wireless,400,3.0
jonba,Spain,Logitech G Pro X Superlight Black,800,0.27
Forester,Russia,Logitech G Pro X Superlight Black,800,0.7
Krad,Russia,VAXEE XE Wireless White,800,1.1
shalfey,Russia,Logitech G Pro X Superlight White,400,2.01
Sheydos,Russia,Logitech G Pro X Superlight White,400,0.81
zorte,Russia,Pulsar Xlite V2 Wireless,800,1.15
syrsoN,Germany,Logitech G Pro X Superlight White,1600,0.92
faveN,Germany,Logitech G Pro X Superlight White,400,2.1
NaToSaphiX,Denmark,Logitech G Pro X Superlight Black,800,1.0
tabseN,Germany,Logitech G Pro X Superlight Black,400,1.28
suNny,Finland,Logitech G Pro X Superlight White,800,0.825
doto,Finland,Logitech G Pro X Superlight White,800,0.72
Krimbo,Germany,Logitech G Pro X Superlight Black,400,1.9
exit,Brazil,VAXEE XE Wireless Orange,800,1.0
brnz4n,Brazil,Logitech G Pro X Superlight Black,400,1.9
Tuurtle,Brazil,ZOWIE EC2,400,1.5
HEN1,Brazil,ZOWIE EC2 Tyloo,400,3.8
Surefour,Canada,Logitech G400S,1600,0.323
k1to,Germany,VAXEE XE Wireless Black,400,1.5
Jerry,Russia,Pulsar Xlite V2 Wireless,400,3.0
NickelBack,Russia,Logitech G Pro X Superlight Black,800,0.8
Boombl4,Russia,ZOWIE EC1,400,1.45
koldamenta,Spain,Razer Deathadder V3 Pro White,800,0.3
starxo,Poland,Logitech G Pro X Superlight Black,800,0.48
Jeemzz,Norway,Logitech G Pro X Superlight Black,800,0.617
TGLTN,Australia,Logitech G Pro Wireless,1600,0.323
Shanks,Canada,Logitech G703,400,0.45
Fuzzface,United States,Razer Viper Ultimate,800,0.617
Pengu,Denmark,Fnatic Bolt,1600,0.323
BreaK,United Kingdom,Logitech G Pro X Superlight Magenta,400,1.714
Apryze,United States,Finalmouse Ultralight 2,1600,1.0
Pio,South Korea,ZOWIE FK1-B,400,1.714
BiBooAF,France,Razer Deathadder V3 Pro Black,800,0.617
ibiza,Netherlands,Logitech G Pro X Superlight Black,800,0.617
SHA77E,Finland,Logitech G Pro X Superlight Black,800,0.617
byali,Poland,Razer Deathadder V3 Pro Black,1600,0.3
Shrimzy,United States,ZOWIE EC2-A,800,0.617
mxey,Finland,Logitech G Pro X Superlight Black,800,0.617
Achieved,United States,Logitech G Pro X Superlight Black,800,0.617
SILERZZ,Belgium,Logitech G Pro X Superlight Black,800,0.617
chocoTaco,United States,Logitech G703,800,1.4
Shaiiko,France,Logitech G Pro X Superlight Black,400,1.714
FoxA,Canada,Logitech G Pro Wireless,800,0.617
supr,United States,Finalmouse Starlight-12 Hades,400,1.714
LeonGids,United Kingdom,Logitech G Pro X Superlight Black,800,0.617
Paluh,Brazil,ZOWIE ZA12,400,1.714
Lagonis,Brazil,Logitech G Pro X Superlight Black,400,1.714
Alem4o,Brazil,Logitech G Pro X Superlight Magenta,400,1.714
CTZN,United Kingdom,Logitech G Pro X Superlight Black,400,1.714
maxster,Sweden,ZOWIE EC1,800,0.68
